nomeImg;modello usato;categoria;stato;bit accuracy;wm presence (logit c0)
899b2dc8fab4cdfd_crop2.png;pixelseal;img_dirette;Pulita;0.5;-0.0245
899b2dc8fab4cdfd_crop2.png;pixelseal;img_dirette;Watermarked;1.0;0.0085
899b2dc8fab4cdfd_crop2.png;pixelseal;img_dirette;Attaccata;0.7109;-0.0137
65798d6e9bf80784_crop0.png;pixelseal;img_dirette;Pulita;0.5273;-0.0187
65798d6e9bf80784_crop0.png;pixelseal;img_dirette;Watermarked;1.0;0.1444
65798d6e9bf80784_crop0.png;pixelseal;img_dirette;Attaccata;0.7461;-0.0287
006afe56d09e8a25_crop0.png;pixelseal;img_dirette;Pulita;0.5117;-0.0175
006afe56d09e8a25_crop0.png;pixelseal;img_dirette;Watermarked;1.0;-0.0056
006afe56d09e8a25_crop0.png;pixelseal;img_dirette;Attaccata;0.9727;0.0162
791caaeb3f093f0e_crop0.png;pixelseal;img_dirette;Pulita;0.5273;-0.0159
791caaeb3f093f0e_crop0.png;pixelseal;img_dirette;Watermarked;1.0;0.0977
791caaeb3f093f0e_crop0.png;pixelseal;img_dirette;Attaccata;0.9609;-0.049
ee888ed228a6dccf_crop1.png;pixelseal;img_dirette;Pulita;0.4375;-0.0069
ee888ed228a6dccf_crop1.png;pixelseal;img_dirette;Watermarked;1.0;0.0416
ee888ed228a6dccf_crop1.png;pixelseal;img_dirette;Attaccata;0.8203;0.0047
883cbab2c31aba88_crop2.png;pixelseal;img_dirette;Pulita;0.5039;-0.0177
883cbab2c31aba88_crop2.png;pixelseal;img_dirette;Watermarked;1.0;0.0961
883cbab2c31aba88_crop2.png;pixelseal;img_dirette;Attaccata;0.6914;0.0089
8f6cc697ff4a0cda_crop0.png;pixelseal;img_dirette;Pulita;0.5352;-0.0183
8f6cc697ff4a0cda_crop0.png;pixelseal;img_dirette;Watermarked;1.0;-0.0783
8f6cc697ff4a0cda_crop0.png;pixelseal;img_dirette;Attaccata;0.8047;0.0113
a9f1534e193e7154_crop2.png;pixelseal;img_dirette;Pulita;0.5352;-0.0197
a9f1534e193e7154_crop2.png;pixelseal;img_dirette;Watermarked;1.0;-0.2073
a9f1534e193e7154_crop2.png;pixelseal;img_dirette;Attaccata;0.9648;-0.1118
fe0a0e92b569f9a8_crop0.png;pixelseal;img_dirette;Pulita;0.543;-0.0153
fe0a0e92b569f9a8_crop0.png;pixelseal;img_dirette;Watermarked;1.0;-0.1156
fe0a0e92b569f9a8_crop0.png;pixelseal;img_dirette;Attaccata;0.5195;-0.0139
842e532cef5cdf56_crop3.png;pixelseal;img_dirette;Pulita;0.5625;-0.0199
842e532cef5cdf56_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.2949
842e532cef5cdf56_crop3.png;pixelseal;img_dirette;Attaccata;0.5508;-0.0214
899b2dc8fab4cdfd_crop0.png;pixelseal;img_dirette;Pulita;0.4922;-0.0192
899b2dc8fab4cdfd_crop0.png;pixelseal;img_dirette;Watermarked;1.0;0.0735
