nomeImg;modello usato;categoria;stato;bit accuracy;wm presence (logit c0)
376fc8137325e69c_center512.png;pixelseal;img_dirette;Pulita;0.5039;-0.0024
376fc8137325e69c_center512.png;pixelseal;img_dirette;Watermarked;1.0;0.0187
376fc8137325e69c_center512.png;pixelseal;img_dirette;Attaccata;0.4922;-0.0095
18d58f0cccb265c4_center512.png;pixelseal;img_dirette;Pulita;0.4922;-0.0157
18d58f0cccb265c4_center512.png;pixelseal;img_dirette;Watermarked;1.0;-0.2106
18d58f0cccb265c4_center512.png;pixelseal;img_dirette;Attaccata;0.5312;-0.028
bafd23428b91ec93_center512.png;pixelseal;img_dirette;Pulita;0.6016;-0.0085
bafd23428b91ec93_center512.png;pixelseal;img_dirette;Watermarked;1.0;-0.262
bafd23428b91ec93_center512.png;pixelseal;img_dirette;Attaccata;0.582;-0.0951
c60b4dfea04074c0_center512.png;pixelseal;img_dirette;Pulita;0.4883;-0.012
c60b4dfea04074c0_center512.png;pixelseal;img_dirette;Watermarked;1.0;0.1637
c60b4dfea04074c0_center512.png;pixelseal;img_dirette;Attaccata;0.6172;-0.0124
b4981e6dd9b3213f_center512.png;pixelseal;img_dirette;Pulita;0.5195;-0.0178
b4981e6dd9b3213f_center512.png;pixelseal;img_dirette;Watermarked;1.0;-0.1917
b4981e6dd9b3213f_center512.png;pixelseal;img_dirette;Attaccata;0.5156;-0.0302
58e590cea5efc434_center512.png;pixelseal;img_dirette;Pulita;0.4609;-0.0259
58e590cea5efc434_center512.png;pixelseal;img_dirette;Watermarked;1.0;0.001
58e590cea5efc434_center512.png;pixelseal;img_dirette;Attaccata;0.5078;-0.0325
1e3965ebc6806fbc_center512.png;pixelseal;img_dirette;Pulita;0.5156;-0.01
1e3965ebc6806fbc_center512.png;pixelseal;img_dirette;Watermarked;1.0;0.2454
1e3965ebc6806fbc_center512.png;pixelseal;img_dirette;Attaccata;0.4961;-0.0291
883cbab2c31aba88_center512.png;pixelseal;img_dirette;Pulita;0.5117;-0.0237
883cbab2c31aba88_center512.png;pixelseal;img_dirette;Watermarked;1.0;0.0382
883cbab2c31aba88_center512.png;pixelseal;img_dirette;Attaccata;0.6055;-0.0275
842e532cef5cdf56_center512.png;pixelseal;img_dirette;Pulita;0.4883;-0.026
842e532cef5cdf56_center512.png;pixelseal;img_dirette;Watermarked;1.0;-0.0128
842e532cef5cdf56_center512.png;pixelseal;img_dirette;Attaccata;0.6289;-0.0008
528b474cad675a6c_center512.png;pixelseal;img_dirette;Pulita;0.5195;-0.0116
528b474cad675a6c_center512.png;pixelseal;img_dirette;Watermarked;1.0;0.1474
528b474cad675a6c_center512.png;pixelseal;img_dirette;Attaccata;0.6172;-0.0053
